﻿Title,Arable Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range,2024 01 May - 2024 23 May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,"2024 23 May, 3:34 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,R6_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.18627167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-114.1459122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of records,4 records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,°F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure,mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,mps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precip / Etc,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil Moisture,VWC %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local_time,site,cl,ET,ETc,gdd,gdd_source,gdd_cumulative,gdd_cumulative_source,NDVI,min_rh,rh_at_max_temp,rh_at_min_temp,swdw,max_temp,mean_temp,min_temp,max_temp_dew,max_temp_time,min_temp_time,precip,precip_hours,cumulative_precip,sea_level_pressure,vapor_pressure_deficit,Kc,leaf_wetness,dew_temp,crop_water_demand,sunshine_duration,wind_direction_cardinal,wind_speed,wind_direction_degrees,wind_speed_max,wind_speed_min,wind_source
5/1/2024,R6_1,0.44,0.03,0,5,Local Data,25,Local Data,0.16,66,88,93,6,40,37,33,37,2024-05-01T18:20:00Z,2024-05-01T07:20:00Z,0.1,4,0.1,1021,1,0.05,10,33,0,6.3,SE,2,146,3,0,Remote Sensed Data
5/2/2024,R6_1,0.5,0.09,0,12,Local Data,37,Local Data,0.15,55,62,93,13,51,42,36,40,2024-05-02T16:05:00Z,2024-05-02T00:25:00Z,0,0,0.1,1021,2,0.05,11,36,0,8.8,SSE,1,154,2,0,Remote Sensed Data
5/3/2024,R6_1,0.49,0.15,0.01,13,Local Data,50,Local Data,0.14,26,27,94,20,59,45,29,36,2024-05-03T19:35:00Z,2024-05-03T06:55:00Z,0,0,0.1,1022,5,0.04,4,30,0,11.4,S,1,175,2,0,Remote Sensed Data
5/4/2024,R6_1,0.47,0.15,0.01,18,Local Data,68,Local Data,0.14,23,24,91,17,67,50,29,34,2024-05-04T14:50:00Z,2024-05-04T06:10:00Z,0,0,0.1,1012,8,0.03,3,30,0,11.4,E,1,88,3,0,Remote Sensed Data
5/5/2024,R6_1,0.49,0.09,0,21,Local Data,88,Local Data,0.14,38,45,72,10,63,52,43,49,2024-05-05T13:25:00Z,2024-05-05T02:50:00Z,0.2,6,0.28,1002,4,0.04,5,41,0,6.3,SE,2,131,3,0,Remote Sensed Data
5/6/2024,R6_1,0.51,0.05,0,15,Local Data,104,Local Data,0.16,54,56,82,8,54,45,41,46,2024-05-06T17:50:00Z,2024-05-06T23:45:00Z,0.1,9,0.41,1009,2,0.06,14,40,0,7.2,SSW,2,193,4,1,Remote Sensed Data
5/7/2024,R6_1,0.49,0.03,0,11,Local Data,114,Local Data,0.17,59,61,91,3,47,42,39,39,2024-05-07T13:10:00Z,2024-05-07T18:35:00Z,0.1,3,0.47,1014,2,0.07,6,36,0,0.5,SSW,2,208,3,1,Remote Sensed Data
5/8/2024,R6_1,0.54,0.11,0.01,17,Local Data,131,Local Data,0.16,42,42,97,14,59,48,39,43,2024-05-08T18:40:00Z,2024-05-08T06:35:00Z,0,0,0.47,1026,4,0.07,9,38,0,9.4,SSE,1,147,3,0,Remote Sensed Data
5/9/2024,R6_1,0.52,0.18,0.01,22,Local Data,153,Local Data,0.16,39,42,91,22,68,55,39,47,2024-05-09T16:05:00Z,2024-05-09T06:30:00Z,0,0,0.47,1031,6,0.05,1,41,0,12,SE,1,129,2,0,Remote Sensed Data
5/10/2024,R6_1,0.52,0.2,0.01,24,Local Data,177,Local Data,0.16,23,24,94,23,74,58,39,46,2024-05-10T18:05:00Z,2024-05-10T06:35:00Z,0,0,0.47,1025,9,0.07,4,40,0,12.2,SE,1,139,3,0,Remote Sensed Data
5/11/2024,R6_1,0.55,0.21,0.02,27,Local Data,205,Local Data,0.18,26,27,94,22,79,61,40,50,2024-05-11T16:20:00Z,2024-05-11T06:40:00Z,0,0,0.47,1016,11,0.09,4,42,0,12.1,SSE,1,147,3,0,Remote Sensed Data
