X,Y,ET
266202.7358,5341744.255,0.11
266232.4886,5341743.607,0.12
266262.4818,5341742.886,0.1
266287.4596,5341742.405,0.11
266203.1421,5341771.952,0.12
266232.3545,5341772.057,0.13
266262.3545,5341772.057,0.1
266287.875,5341772.169,0.11
266203.7383,5341801.947,0.11
266232.3545,5341802.057,0.12
266262.3545,5341802.057,0.11
266288.3452,5341802.164,0.1
266204.3345,5341831.942,0.1
266232.3545,5341832.057,0.13
266262.3545,5341832.057,0.12
266288.8154,5341832.159,0.13
266204.9307,5341861.937,0.12
266232.3545,5341862.057,0.11
266262.3545,5341862.057,0.12
266289.2856,5341862.155,0.12
266205.5268,5341891.931,0.13
266232.3545,5341892.057,0.11
266262.3545,5341892.057,0.12
266289.7558,5341892.151,0.11
266206.123,5341921.924,0.13
266232.3545,5341922.057,0.11
266262.3545,5341922.057,0.1
266290.2261,5341922.148,0.11
266206.7192,5341951.917,0.11
266232.3545,5341952.057,0.1
266262.3545,5341952.057,0.11
266290.6963,5341952.145,0.13
266207.3153,5341981.908,0.1
266232.3545,5341982.057,0.12
266262.3545,5341982.057,0.11
266291.1665,5341982.142,0.12
266207.9114,5342011.899,0.1
266232.3545,5342012.057,0.12
266262.3545,5342012.057,0.11
266291.6367,5342012.139,0.11
266208.5075,5342041.888,0.12
266232.3545,5342042.057,0.1
266262.3545,5342042.057,0.13
266292.107,5342042.136,0.11
266209.1023,5342071.878,0.1
266232.3545,5342072.057,0.13
266262.3545,5342072.057,0.12
266292.3543,5342072.057,0.11
266209.5255,5342096.967,0.12
266232.293,5342096.852,0.11
266262.2914,5342096.611,0.11
266292.2898,5342096.37,0.12
